"Région","Département","Exprimés","Abstentions","Nb_voix_Le_Pen","Voix_Le_Pen","Voix_Zemmour","Voix_Macron","Voix_Mélenchon","Age_18_24ans","Age_30_44ans","Age_45_59ans","Agriculteurs_exploitants","Artisans_commerçants_chefs_d'entreprise","Cadres_professions_intellectuelles_supérieures","Employés","Ouvriers","Professions_intermédiaires","Retraités","Sans_activité_professionelles_ou_autre","Chômage","Salariés_emploi_précaire","Non_diplomés_non_scolarisés","Diplomés_supérieur_non_scolarisés","Indicateur_dépendance_économique","Immigrés","Densité_population","Médiane_revenu_dispo_par_unité_consommation","Rsa","Taux_évolution_pop_solde_migratoire_apparent"
"Normandie","Eure",318861,106463,102952,32.29,6.56,26.05,17.43,6.4,18.8,20.5,0.7,3.4,6.5,16.1,16.3,14.1,28.1,14.8,13,15.4,30.8,22.9,105,5.2,99.78,22240,37.1,-0.42
"Centre-Val de Loire","Eure-et-Loir",220021,78960,61960,28.16,6.73,27.21,18.42,6.2,18.4,20.4,1,3.1,7.1,16.5,14.6,14.7,29.2,13.6,12.2,13.4,30.7,23.7,107,7.4,73.4,22650,33.5,-0.26
"Bretagne","Finistère",542919,154870,100890,18.58,4.72,32.21,21.47,7.4,17.2,20.5,1.1,3.3,7,15.4,12.4,13.6,32.1,15,12,17,22.5,30.4,111,3.1,135.91,22400,30,-0.49
"Occitanie","Gard",413979,132723,121480,29.34,9.29,21.32,21.46,7,17.1,20.6,0.8,4.7,6.3,15.9,10.7,12.9,30.1,18.6,16.7,16.4,29.4,27.5,112,8.9,127.88,20740,68.1,-0.38
"Occitanie","Haute-Garonne",730979,183366,133254,18.23,6.92,26.91,25.84,10.8,20.3,19.2,0.4,3.6,15.1,15.3,9.1,16.5,21.8,18.2,12.3,15.1,20,42.6,84,10.2,221.9,23730,40.7,0.24
"Occitanie","Gers",116399,28267,26015,22.35,7.21,24.89,18.34,5.1,15.6,21.7,3.4,4.5,5.9,14.4,11.4,12.2,35.5,12.7,10.6,15.8,29.5,25.9,124,7.2,30.59,21420,33.9,-0.88
"Nouvelle-Aquitaine","Gironde",892020,249014,191542,21.47,6.54,28.72,21.84,9.3,19.5,19.6,0.5,4.1,10.3,16.2,11.1,15.2,25.9,16.7,12.6,15.6,23.2,34.2,93,7.6,162.77,23180,38.6,-0.03
"Occitanie","Hérault",638728,195766,165734,25.95,9.04,22.28,24.24,9.4,18,19.1,0.7,4.4,8.9,15.7,9,13.9,27.6,19.8,16.7,17,26.1,33.7,102,10.2,192.69,21130,56.7,-0.09
"Bretagne","Ille-et-Vilaine",596832,161427,101797,17.06,4.6,34.5,22.2,9.6,19.2,19.2,1.1,3.2,10.3,15.4,12.7,15.4,25.8,16.1,10.4,16.1,23.3,34.3,95,4.7,159.34,22840,27.1,0.09
"Centre-Val de Loire","Indre",120997,41406,34516,28.53,6.15,26.03,17.32,5.7,15.4,21,1.8,3.1,4.4,15.8,14.2,10.7,37.4,12.5,12.6,15.4,33.8,18.6,124,4.6,32.3,20820,41.7,-0.74
"Centre-Val de Loire","Indre-et-Loire",327490,105536,70553,21.54,6.09,30.99,20.77,8.7,17.7,19.7,0.7,3.2,8.4,16,12.1,14.8,29.8,15.1,12.4,16,25.7,30.1,106,6.4,99.58,22450,37.6,-0.17
"Auvergne-Rhône-Alpes","Isère",672296,198676,154799,23.03,7.06,26.85,22.83,8.6,18.9,20,0.5,3.8,11,15.2,12.1,15.8,25.3,16.4,11,15.9,24.7,34.2,98,9.8,171.05,23580,28.2,0.09
"Bourgogne-Franche-Comté","Jura",145227,41634,38179,26.29,6.65,24.88,19.89,6.1,17.1,20.9,1.3,3.7,5.4,14.8,16.4,13.3,32.3,13,10.1,15.7,28.2,23.9,113,5.9,51.85,22460,23.1,-0.49
"Nouvelle-Aquitaine","Landes",258050,65654,58646,22.73,6.52,26.92,17.26,5.3,17.4,21.2,1.1,4.4,5.2,16.6,13.1,12.6,34.2,12.8,13,16.7,25.8,25,114,5.1,44.76,22100,33,-0.71
"Centre-Val de Loire","Loir-et-Cher",180810,59350,50212,27.77,7.03,27.92,16.8,5.9,16.6,20.6,1,3.6,5.9,15.5,14.9,12.5,34.1,12.7,11.7,15.4,31.5,22.4,119,6.3,51.94,21940,37.8,-0.4
"Auvergne-Rhône-Alpes","Loire",385938,118592,97764,25.33,7.44,26.95,20.25,8,17.3,19.3,0.8,3.6,6.3,15,13.8,13.3,30.9,16.4,12.9,16.2,29.6,24.8,112,8.6,160.15,21380,37.4,-0.1
"Auvergne-Rhône-Alpes","Haute-Loire",139655,37000,38629,27.66,6.82,23.21,17.42,5.9,16.8,21.1,2.3,4.4,4.6,15.3,14.3,12.8,33.6,12.7,10.2,16.2,28.6,23.7,116,3.5,45.72,21470,22.2,-0.6
"Pays de la Loire","Loire-Atlantique",802422,236339,135702,16.91,5.33,31.98,23.43,8.5,19.6,19.3,0.7,3.4,11,15.3,12.3,16.1,26.1,15.1,11.1,15.5,20.8,35,97,4.9,207.92,23430,33.9,0.14
"Centre-Val de Loire","Loiret",335422,114468,85832,25.59,6.82,28.92,18.93,7.7,18.3,19.6,0.6,3.1,8.1,15.8,14.5,14.8,28.3,14.8,12.6,15,28.4,27.7,105,10.1,100.43,22480,39.2,-0.01
"Occitanie","Lot",109390,27164,21422,19.58,5.6,24.97,23.71,5,14.9,21,2.6,4.9,5.6,14.3,11.2,11.2,38.6,11.7,12.6,16.3,28.6,25.7,131,6.9,33.37,21310,42,-1.03
"Nouvelle-Aquitaine","Lot-et-Garonne",184102,52907,50290,27.32,8.5,23.12,18.49,6.1,16.1,20.5,1.9,4.2,4.8,15,13.7,11.4,34.9,14.1,13.9,18.3,32.3,22.4,121,9.4,61.79,20550,47.7,-0.77
"Occitanie","Lozère",46996,11680,10497,22.34,6.7,22.85,19.48,6.4,16.5,21.3,4.9,4.5,4.6,15.9,10.9,12.6,32.4,14.2,9.4,14.2,28.7,26,115,5.1,14.83,20940,25.7,-0.76
"Pays de la Loire","Maine-et-Loire",441342,136866,89433,20.26,4.92,35.59,18.27,8.7,18.1,19.1,1.3,3.2,7.1,15.4,15.9,13.9,28.7,14.4,11.8,17.3,28.6,27,107,4.3,115.14,21790,29.8,-0.03
"Normandie","Manche",284458,93460,69770,24.53,4.92,32.57,16.5,6.1,16.5,20.7,1.9,3.3,5.1,15.2,14.6,12.7,34.8,12.3,10.3,16.8,31.6,21.5,116,2.6,83.18,21740,25.7,-0.72
"Grand Est","Marne",274106,101010,83756,30.56,7.11,28.63,15.64,9.5,18.2,19.5,1.9,2.9,7.5,16.3,14.3,13.3,26.7,17.2,13.1,16.5,29.4,26.9,99,6.5,69.39,22230,40.7,-0.11
"Grand Est","Haute-Marne",93808,33273,34331,36.6,6.88,23.33,14.1,6.3,16.3,20.9,1.5,3,4.1,16.2,16.3,11,33.7,14.2,13,17.5,34.3,18.2,113,4,27.78,20780,40.3,-0.7
"Pays de la Loire","Mayenne",166908,52812,37376,22.39,4.82,36.4,15.34,6.8,17.2,20,2.8,2.9,5.2,14.5,17.6,12.7,32,12.2,8.9,16,31.8,21.9,114,3.6,59.33,21510,20.9,-0.27
"Grand Est","Meurthe-et-Moselle",353800,130919,97243,27.49,6.65,26.92,20.89,10.2,18.4,19.4,0.4,2.7,7.8,16.6,12.3,14.1,26.3,19.8,13.5,15.3,26.3,28.4,96,8.9,139.87,22400,45.6,-0.14
"Grand Est","Meuse",98513,34092,34588,35.11,7.46,24.91,13.76,6.4,17.3,20.7,2,2.8,4.2,16.8,15.9,11.7,31.5,15.2,13.1,16.9,31.2,19.8,110,4.8,29.64,21320,42.8,-0.59
"Bretagne","Morbihan",467374,130520,102856,22.01,5.69,32.68,18.02,6.2,16.9,20.7,1.2,3.9,6,14.8,13.5,12.8,34.1,13.7,12.1,16.6,25.2,27.3,117,3.3,111.35,22270,29.5,-0.73
"Grand Est","Moselle",524319,210299,159254,30.37,7.51,26.01,19.1,7.4,18.9,21.3,0.3,2.6,6.9,17.2,14.6,14,26.1,18.3,13.1,13.6,27.5,25.9,95,10.9,168.36,22350,38,-0.38
"Bourgogne-Franche-Comté","Nièvre",112441,38850,32838,29.2,6.56,25.51,17.72,5.7,15,20.3,1.8,3.1,4.3,14.5,12.3,10.6,39,14.3,13.1,16.2,32.3,19.3,131,5.2,29.99,20940,48.4,-1.04
