Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Part des 45-59 ans 2019
02126;Brunehamel;19.3
02127;Bruyères-sur-Fère;25.5
02128;Bruyères-et-Montbérault;21.4
02129;Bruys;26.3
02130;Bucilly;21.2
02131;Bucy-le-Long;24.3
02132;Bucy-lès-Cerny;19.8
02133;Bucy-lès-Pierrepont;23.7
02134;Buire;23.5
02135;Buironfosse;20.8
02136;Burelles;24.2
02137;Bussiares;20.8
02138;Buzancy;21.1
02139;Caillouël-Crépigny;19.3
02140;Camelin;19.8
02141;La Capelle;19.5
02142;Castres;20.5
02143;Le Catelet;19.3
02144;Caulaincourt;22.2
02145;Caumont;22.8
02146;Celles-lès-Condé;19.1
02148;Celles-sur-Aisne;26.6
02149;Cerizy;30
02150;Cerny-en-Laonnois;24.2
02151;Cerny-lès-Bucy;24.3
02152;Cerseuil;15.7
02153;Cessières-Suzy;21
02154;Chacrise;21.4
02155;Chaillevois;21.9
02156;Chalandry;18.6
02157;Chambry;21.1
02158;Chamouille;19.8
02159;Champs;18.5
02160;Chaourse;19.2
02162;La Chapelle-sur-Chézy;16.1
02163;Charly-sur-Marne;18.8
02164;Le Charmel;19.6
02165;Charmes;18.7
02166;Chartèves;23.6
02167;Chassemy;20.8
02168;Château-Thierry;17.6
02169;Châtillon-lès-Sons;21.7
02170;Châtillon-sur-Oise;16.9
02171;Chaudardes;27.3
02172;Chaudun;24
02173;Chauny;19
02174;Chavignon;20.4
02175;Chavigny;24.7
02176;Chavonne;26.7
02177;Chérêt;20.1
02178;Chermizy-Ailles;18.9
02179;Chéry-Chartreuve;22
02180;Chéry-lès-Pouilly;19.7
02181;Chéry-lès-Rozoy;18.1
02182;Chevennes;19.2
02183;Chevregny;25.4
02184;Chevresis-Monceau;16.1
02185;Chézy-en-Orxois;21
02186;Chézy-sur-Marne;21.4
02187;Chierry;21.2
02188;Chigny;26
02189;Chivres-en-Laonnois;25.1
02190;Chivres-Val;24.9
02191;Chivy-lès-Étouvelles;23.8
02192;Chouy;27.8
02193;Cierges;26.6
02194;Cilly;24.9
02195;Ciry-Salsogne;22.1
02196;Clacy-et-Thierret;20.5
02197;Clairfontaine;21.7
02198;Clamecy;20.2
02199;Clastres;18.6
02200;Clermont-les-Fermes;25.5
02201;Cœuvres-et-Valsery;19.3
02203;Coincy;20.7
02204;Coingt;23.4
02205;Colligis-Crandelain;13.7
02206;Colonfay;19.2
02207;Commenchon;23
02208;Concevreux;23.7
02209;Condé-en-Brie;17.5
02210;Condé-sur-Aisne;22.3
