Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2021); ; 
Code;Libellé;Taux de pauvreté (seuil à 60% du revenu médian) 2018
02070;Bernot;N/A
02071;Berny-Rivière;N/A
02072;Berrieux;N/A
02073;Berry-au-Bac;N/A
02074;Bertaucourt-Epourdon;N/A
02075;Berthenicourt;N/A
02076;Bertricourt;N/A
02077;Berzy-le-Sec;N/A
02078;Besmé;N/A
02079;Besmont;N/A
02080;Besny-et-Loizy;N/A
02081;Béthancourt-en-Vaux;N/A
02082;Beugneux;N/A
02083;Beuvardes;N/A
02084;Bézu-le-Guéry;N/A
02085;Bézu-Saint-Germain;N/A
02086;Bichancourt;N/A
02087;Bieuxy;N/A
02088;Bièvres;N/A
02089;Billy-sur-Aisne;N/A
02090;Billy-sur-Ourcq;N/A
02091;Blanzy-lès-Fismes;N/A
02093;Blérancourt;N/A
02094;Blesmes;N/A
02095;Bohain-en-Vermandois;37
02096;Bois-lès-Pargny;N/A
02097;Boncourt;N/A
02098;Bonneil;N/A
02099;Bonnesvalyn;N/A
02100;Bony;N/A
02101;Bosmont-sur-Serre;N/A
02102;Bouconville-Vauclair;N/A
02103;Boué;N/A
02104;Bouffignereux;N/A
02105;Bouresches;N/A
02106;Bourg-et-Comin;N/A
02107;Bourguignon-sous-Coucy;N/A
02108;Bourguignon-sous-Montbavin;N/A
02109;La Bouteille;N/A
02110;Braine;19
02111;Brancourt-en-Laonnois;N/A
02112;Brancourt-le-Grand;N/A
02114;Brasles;N/A
02115;Braye-en-Laonnois;N/A
02116;Braye-en-Thiérache;N/A
02117;Bray-Saint-Christophe;N/A
02118;Braye;N/A
02119;Brécy;N/A
02120;Brenelle;N/A
02121;Breny;N/A
02122;Brie;N/A
02123;Brissay-Choigny;N/A
02124;Brissy-Hamégicourt;N/A
02125;Brumetz;N/A
02126;Brunehamel;N/A
02127;Bruyères-sur-Fère;N/A
02128;Bruyères-et-Montbérault;N/A
02129;Bruys;N/A
02130;Bucilly;N/A
02131;Bucy-le-Long;N/A
02132;Bucy-lès-Cerny;N/A
02133;Bucy-lès-Pierrepont;N/A
02134;Buire;N/A
02135;Buironfosse;N/A
02136;Burelles;N/A
02137;Bussiares;N/A
02138;Buzancy;N/A
02139;Caillouël-Crépigny;N/A
02140;Camelin;N/A
02141;La Capelle;N/A
02142;Castres;N/A
02143;Le Catelet;N/A
02144;Caulaincourt;N/A
02145;Caumont;N/A
02146;Celles-lès-Condé;N/A
02148;Celles-sur-Aisne;N/A
02149;Cerizy;N/A
02150;Cerny-en-Laonnois;N/A
02151;Cerny-lès-Bucy;N/A
02152;Cerseuil;N/A
02153;Cessières-Suzy;N/A
02154;Chacrise;N/A
02155;Chaillevois;N/A
02156;Chalandry;N/A
02157;Chambry;N/A
02158;Chamouille;N/A
02159;Champs;N/A
02160;Chaourse;N/A
02162;La Chapelle-sur-Chézy;N/A
02163;Charly-sur-Marne;15
02164;Le Charmel;N/A
02165;Charmes;N/A
02166;Chartèves;N/A
02167;Chassemy;N/A
02168;Château-Thierry;26
02169;Châtillon-lès-Sons;N/A
02170;Châtillon-sur-Oise;N/A
02171;Chaudardes;N/A
02172;Chaudun;N/A
02173;Chauny;28
02174;Chavignon;N/A
02175;Chavigny;N/A
02176;Chavonne;N/A
02177;Chérêt;N/A
02178;Chermizy-Ailles;N/A
02179;Chéry-Chartreuve;N/A
02180;Chéry-lès-Pouilly;N/A
02181;Chéry-lès-Rozoy;N/A
02182;Chevennes;N/A
02183;Chevregny;N/A
02184;Chevresis-Monceau;N/A
02185;Chézy-en-Orxois;N/A
02186;Chézy-sur-Marne;N/A
02187;Chierry;N/A
02188;Chigny;N/A
02189;Chivres-en-Laonnois;N/A
02190;Chivres-Val;N/A
02191;Chivy-lès-Étouvelles;N/A
02192;Chouy;N/A
02193;Cierges;N/A
02194;Cilly;N/A
02195;Ciry-Salsogne;N/A
02196;Clacy-et-Thierret;N/A
02197;Clairfontaine;N/A
02198;Clamecy;N/A
02199;Clastres;N/A
02200;Clermont-les-Fermes;N/A
02201;Cœuvres-et-Valsery;N/A
02203;Coincy;N/A
02204;Coingt;N/A
02205;Colligis-Crandelain;N/A
02206;Colonfay;N/A
02207;Commenchon;N/A
02208;Concevreux;N/A
02209;Condé-en-Brie;N/A
02210;Condé-sur-Aisne;N/A
02211;Condé-sur-Suippe;N/A
02212;Condren;N/A
02213;Connigis;N/A
02214;Contescourt;N/A
02215;Corbeny;N/A
02216;Corcy;N/A
02217;Coucy-le-Château-Auffrique;N/A
02218;Coucy-lès-Eppes;N/A
02219;Coucy-la-Ville;N/A
02220;Coulonges-Cohan;N/A
02221;Coupru;N/A
02222;Courbes;N/A
02223;Courboin;N/A
02224;Courcelles-sur-Vesle;N/A
02225;Courchamps;N/A
02226;Courmelles;N/A
02227;Courmont;N/A
02228;Courtemont-Varennes;N/A
02229;Courtrizy-et-Fussigny;N/A
02230;Couvrelles;N/A
02231;Couvron-et-Aumencourt;N/A
02232;Coyolles;N/A
02233;Cramaille;N/A
02234;Craonne;N/A
02235;Craonnelle;N/A
02236;Crécy-au-Mont;N/A
02237;Crécy-sur-Serre;N/A
02238;Crépy;N/A
02239;Crézancy;N/A
02240;Croix-Fonsomme;N/A
02241;La Croix-sur-Ourcq;N/A
02242;Crouttes-sur-Marne;N/A
02243;Crouy;16
02244;Crupilly;N/A
02245;Cuffies;N/A
02246;Cugny;N/A
02248;Cuirieux;N/A
02249;Cuiry-Housse;N/A
02250;Cuiry-lès-Chaudardes;N/A
02251;Cuiry-lès-Iviers;N/A
02252;Cuissy-et-Geny;N/A
02253;Cuisy-en-Almont;N/A
02254;Cutry;N/A
02255;Cys-la-Commune;N/A
02256;Dagny-Lambercy;N/A
02257;Dallon;N/A
02258;Dammard;N/A
02259;Dampleux;N/A
02260;Danizy;N/A
02261;Dercy;N/A
02262;Deuillet;N/A
02263;Dhuizel;N/A
02264;Dizy-le-Gros;N/A
02265;Dohis;N/A
02266;Dolignon;N/A
02267;Dommiers;N/A
02268;Domptin;N/A
02269;Dorengt;N/A
02270;Douchy;N/A
02271;Dravegny;N/A
02272;Droizy;N/A
02273;Dury;N/A
02274;Ébouleau;N/A
02275;Effry;N/A
02276;Englancourt;N/A
02277;Épagny;N/A
02278;Éparcy;N/A
02279;Épaux-Bézu;N/A
02280;Épieds;N/A
02281;L'Épine-aux-Bois;N/A
02282;Eppes;N/A
02283;Erlon;N/A
02284;Erloy;N/A
02286;Esquéhéries;N/A
02287;Essigny-le-Grand;N/A
02288;Essigny-le-Petit;N/A
02289;Essises;N/A
02290;Essômes-sur-Marne;10
02291;Estrées;N/A
02292;Étampes-sur-Marne;N/A
02293;Étaves-et-Bocquiaux;N/A
02294;Étouvelles;N/A
02295;Étréaupont;N/A
02296;Étreillers;N/A
02297;Étrépilly;N/A
02298;Étreux;N/A
02299;Évergnicourt;N/A
02302;Faverolles;N/A
02303;Fayet;N/A
02304;La Fère;37
02305;Fère-en-Tardenois;22
02306;La Ferté-Chevresis;N/A
02307;La Ferté-Milon;12
02308;Fesmy-le-Sart;N/A
02309;Festieux;N/A
02310;Fieulaine;N/A
02311;Filain;N/A
02312;La Flamengrie;N/A
02313;Flavigny-le-Grand-et-Beaurain;N/A
02315;Flavy-le-Martel;N/A
02316;Fleury;N/A
02317;Fluquières;N/A
02318;Folembray;N/A
02319;Fonsomme;N/A
02320;Fontaine-lès-Clercs;N/A
02321;Fontaine-lès-Vervins;N/A
02322;Fontaine-Notre-Dame;N/A
02323;Fontaine-Uterte;N/A
02324;Fontenelle;N/A
02326;Fontenoy;N/A
02327;Foreste;N/A
02328;Fossoy;N/A
02329;Fourdrain;N/A
02330;Francilly-Selency;N/A
02331;Franqueville;N/A
02332;Fresnes-en-Tardenois;N/A
02333;Fresnes-sous-Coucy;N/A
02334;Fresnoy-le-Grand;22
02335;Fressancourt;N/A
02336;Frières-Faillouël;N/A
02337;Froidestrées;N/A
02338;Froidmont-Cohartille;N/A
02339;Gandelu;N/A
02340;Gauchy;17
02341;Gercy;N/A
02342;Gergny;N/A
02343;Germaine;N/A
02345;Gibercourt;N/A
02346;Gizy;N/A
02347;Gland;N/A
02349;Goudelancourt-lès-Berrieux;N/A
02350;Goudelancourt-lès-Pierrepont;N/A
02351;Goussancourt;N/A
02352;Gouy;N/A
02353;Grandlup-et-Fay;N/A
02354;Grandrieux;N/A
02355;Gricourt;N/A
02356;Grisolles;N/A
02357;Gronard;N/A
02358;Grougis;N/A
02359;Grugies;N/A
02360;Villeneuve-sur-Aisne;9
02361;Guise;32
02362;Guivry;N/A
02363;Guny;N/A
02364;Guyencourt;N/A
02366;Hannapes;N/A
02367;Happencourt;N/A
02368;Haramont;N/A
02369;Harcigny;N/A
02370;Hargicourt;N/A
02371;Harly;N/A
02372;Hartennes-et-Taux;N/A
02373;Hary;N/A
02374;Lehaucourt;N/A
02375;Hautevesnes;N/A
02376;Hauteville;N/A
02377;Haution;N/A
02378;La Hérie;N/A
02379;Le Hérie-la-Viéville;N/A
02380;Hinacourt;N/A
02381;Hirson;34
02382;Holnon;N/A
02383;Homblières;N/A
02384;Houry;N/A
02385;Housset;N/A
02386;Iron;N/A
02387;Itancourt;N/A
02388;Iviers;N/A
02389;Jaulgonne;N/A
02390;Jeancourt;N/A
02391;Jeantes;N/A
02392;Joncourt;N/A
02393;Jouaignes;N/A
02395;Jumencourt;N/A
02396;Jumigny;N/A
02397;Jussy;N/A
02398;Juvigny;N/A
02399;Juvincourt-et-Damary;N/A
02400;Laffaux;N/A
02401;Laigny;N/A
02402;Lanchy;N/A
02403;Landifay-et-Bertaignemont;N/A
02404;Landouzy-la-Cour;N/A
02405;Landouzy-la-Ville;N/A
02406;Landricourt;N/A
02407;Laniscourt;N/A
02408;Laon;30
02409;Lappion;N/A
02410;Largny-sur-Automne;N/A
02411;Latilly;N/A
02412;Launoy;N/A
02413;Laval-en-Laonnois;N/A
02414;Lavaqueresse;N/A
02415;Laversine;N/A
02416;Lemé;N/A
02417;Lempire;N/A
02418;Lerzy;N/A
02419;Leschelle;N/A
02420;Lesdins;N/A
02421;Lesges;N/A
02422;Lesquielles-Saint-Germain;N/A
02423;Leuilly-sous-Coucy;N/A
02424;Leury;N/A
02425;Leuze;N/A
02426;Levergies;N/A
02427;Lhuys;N/A
02428;Licy-Clignon;N/A
02429;Lierval;N/A
02430;Liesse-Notre-Dame;N/A
02431;Liez;N/A
02432;Limé;N/A
02433;Lislet;N/A
02435;Logny-lès-Aubenton;N/A
02438;Longpont;N/A
02439;Les Septvallons;N/A
02440;Lor;N/A
02441;Louâtre;N/A
02442;Loupeigne;N/A
02443;Lucy-le-Bocage;N/A
02444;Lugny;N/A
02445;Luzoir;N/A
02446;Ly-Fontaine;N/A
02447;Maast-et-Violaine;N/A
02448;Mâchecourt;N/A
02449;Macogny;N/A
02450;Macquigny;N/A
02451;Magny-la-Fosse;N/A
02452;Maissemy;N/A
02453;Maizy;N/A
02454;La Malmaison;N/A
02455;Malzy;N/A
02456;Manicamp;N/A
02457;Marchais;N/A
02458;Dhuys et Morin-en-Brie;N/A
02459;Marcy;N/A
02460;Marcy-sous-Marle;N/A
02461;Marest-Dampcourt;N/A
02462;Mareuil-en-Dôle;N/A
02463;Marfontaine;N/A
02464;Margival;N/A
02465;Marigny-en-Orxois;N/A
02466;Marizy-Sainte-Geneviève;N/A
02467;Marizy-Saint-Mard;N/A
02468;Marle;28
02469;Marly-Gomont;N/A
02470;Martigny;N/A
02471;Martigny-Courpierre;N/A
