Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Part des 30-44 ans 2019
02146;Celles-lès-Condé;18
02148;Celles-sur-Aisne;18.7
02149;Cerizy;13.3
02150;Cerny-en-Laonnois;21
02151;Cerny-lès-Bucy;15.7
02152;Cerseuil;18
02153;Cessières-Suzy;19.4
02154;Chacrise;21.4
02155;Chaillevois;15.2
02156;Chalandry;22.1
02157;Chambry;15.2
02158;Chamouille;19.8
02159;Champs;20.2
02160;Chaourse;17.8
02162;La Chapelle-sur-Chézy;23.2
02163;Charly-sur-Marne;18.4
02164;Le Charmel;17.4
02165;Charmes;17.7
02166;Chartèves;19.9
02167;Chassemy;20.1
02168;Château-Thierry;18.8
02169;Châtillon-lès-Sons;15.7
02170;Châtillon-sur-Oise;19.4
02171;Chaudardes;19.3
02172;Chaudun;19.2
02173;Chauny;15.6
02174;Chavignon;21.2
02175;Chavigny;19.6
02176;Chavonne;18.9
02177;Chérêt;17.3
02178;Chermizy-Ailles;28.3
02179;Chéry-Chartreuve;20.5
02180;Chéry-lès-Pouilly;19.8
02181;Chéry-lès-Rozoy;16.9
02182;Chevennes;19.2
02183;Chevregny;18.9
02184;Chevresis-Monceau;23.6
02185;Chézy-en-Orxois;20
02186;Chézy-sur-Marne;14.8
02187;Chierry;16.8
02188;Chigny;12
02189;Chivres-en-Laonnois;16.2
02190;Chivres-Val;15
02191;Chivy-lès-Étouvelles;15.7
02192;Chouy;18.6
02193;Cierges;9.4
02194;Cilly;17.1
02195;Ciry-Salsogne;20.3
02196;Clacy-et-Thierret;20.1
02197;Clairfontaine;17.9
02198;Clamecy;20.2
02199;Clastres;21.5
02200;Clermont-les-Fermes;16
02201;Cœuvres-et-Valsery;18.6
02203;Coincy;17.6
02204;Coingt;12.5
02205;Colligis-Crandelain;26.5
02206;Colonfay;16.7
02207;Commenchon;21.2
02208;Concevreux;21
02209;Condé-en-Brie;21.9
02210;Condé-sur-Aisne;19.8
02211;Condé-sur-Suippe;21
02212;Condren;15.8
02213;Connigis;18.2
02214;Contescourt;18
02215;Corbeny;19.3
02216;Corcy;18
02217;Coucy-le-Château-Auffrique;17.4
02218;Coucy-lès-Eppes;19.2
02219;Coucy-la-Ville;17.3
02220;Coulonges-Cohan;17.6
02221;Coupru;21.4
02222;Courbes;26.7
02223;Courboin;19.9
02224;Courcelles-sur-Vesle;17.3
02225;Courchamps;17.8
02226;Courmelles;15.6
02227;Courmont;16.7
02228;Courtemont-Varennes;16.6
02229;Courtrizy-et-Fussigny;18.9
02230;Couvrelles;25.8
02231;Couvron-et-Aumencourt;23
02232;Coyolles;16.7
02233;Cramaille;23.1
02234;Craonne;21.4
02235;Craonnelle;16.7
02236;Crécy-au-Mont;19.1
02237;Crécy-sur-Serre;16.9
02238;Crépy;19.8
02239;Crézancy;20.6
02240;Croix-Fonsomme;17.7
02241;La Croix-sur-Ourcq;18.5
02242;Crouttes-sur-Marne;20.8
02243;Crouy;16.1
02244;Crupilly;22.7
02245;Cuffies;14.8
02246;Cugny;20.1
02248;Cuirieux;16
02249;Cuiry-Housse;24.5
02250;Cuiry-lès-Chaudardes;26.3
02251;Cuiry-lès-Iviers;18.5
02252;Cuissy-et-Geny;16.9
02253;Cuisy-en-Almont;20.9
02254;Cutry;23.8
02255;Cys-la-Commune;21.6
02256;Dagny-Lambercy;16.8
02257;Dallon;17.2
02258;Dammard;15.7
02259;Dampleux;15.3
02260;Danizy;18.5
02261;Dercy;17.4
02262;Deuillet;21.8
02263;Dhuizel;16.1
02264;Dizy-le-Gros;14.5
02265;Dohis;13.4
02266;Dolignon;10.2
02267;Dommiers;20.9
02268;Domptin;22.1
02269;Dorengt;22.7
02270;Douchy;22.1
02271;Dravegny;18.2
02272;Droizy;10.8
02273;Dury;20.6
02274;Ébouleau;20
02275;Effry;18.7
02276;Englancourt;22.1
02277;Épagny;21.3
02278;Éparcy;3.2
02279;Épaux-Bézu;18.1
02280;Épieds;19.1
02281;L'Épine-aux-Bois;18.4
02282;Eppes;20.1
02283;Erlon;19.2
02284;Erloy;21.6
02286;Esquéhéries;19.9
02287;Essigny-le-Grand;12.9
02288;Essigny-le-Petit;20.6
02289;Essises;20
02290;Essômes-sur-Marne;16.9
02291;Estrées;20.4
02292;Étampes-sur-Marne;18.7
02293;Étaves-et-Bocquiaux;19
02294;Étouvelles;12.7
02295;Étréaupont;19.9
02296;Étreillers;17.2
02297;Étrépilly;17.9
02298;Étreux;15.7
02299;Évergnicourt;22.3
02302;Faverolles;20.5
02303;Fayet;16.8
02304;La Fère;18.9
02305;Fère-en-Tardenois;14.7
02306;La Ferté-Chevresis;20
02307;La Ferté-Milon;18.5
02308;Fesmy-le-Sart;21.1
02309;Festieux;22.2
02310;Fieulaine;17
02311;Filain;24
02312;La Flamengrie;18.4
02313;Flavigny-le-Grand-et-Beaurain;14.6
02315;Flavy-le-Martel;18.2
02316;Fleury;11.7
02317;Fluquières;18
02318;Folembray;17.5
02319;Fonsomme;18.8
02320;Fontaine-lès-Clercs;14.1
02321;Fontaine-lès-Vervins;17.3
02322;Fontaine-Notre-Dame;18.5
02323;Fontaine-Uterte;23.2
02324;Fontenelle;20.8
02326;Fontenoy;17.4
02327;Foreste;22.4
02328;Fossoy;13
02329;Fourdrain;18.3
02330;Francilly-Selency;15.8
02331;Franqueville;23
02332;Fresnes-en-Tardenois;18.5
02333;Fresnes-sous-Coucy;23.8
02334;Fresnoy-le-Grand;16.3
02335;Fressancourt;20.7
02336;Frières-Faillouël;21.8
02337;Froidestrées;19.9
02338;Froidmont-Cohartille;21
02339;Gandelu;21.3
02340;Gauchy;15.7
02341;Gercy;12.3
02342;Gergny;15.7
02343;Germaine;25.9
02345;Gibercourt;25.6
02346;Gizy;16.8
02347;Gland;15.9
02349;Goudelancourt-lès-Berrieux;15.8
02350;Goudelancourt-lès-Pierrepont;14
02351;Goussancourt;21.4
