Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Médiane du revenu disponible par UC 2020
02082;Beugneux;21270
02083;Beuvardes;22620
02084;Bézu-le-Guéry;24480
02085;Bézu-Saint-Germain;22860
02086;Bichancourt;21890
02087;Bieuxy;N/A
02088;Bièvres;N/A
02089;Billy-sur-Aisne;21600
02090;Billy-sur-Ourcq;22130
02091;Blanzy-lès-Fismes;N/A
02093;Blérancourt;19120
02094;Blesmes;24840
02095;Bohain-en-Vermandois;15620
02096;Bois-lès-Pargny;22610
02097;Boncourt;18840
02098;Bonneil;26230
02099;Bonnesvalyn;22600
02100;Bony;20630
02101;Bosmont-sur-Serre;20840
02102;Bouconville-Vauclair;21620
02103;Boué;20250
02104;Bouffignereux;N/A
02105;Bouresches;23360
02106;Bourg-et-Comin;19110
02107;Bourguignon-sous-Coucy;N/A
02108;Bourguignon-sous-Montbavin;23920
02109;La Bouteille;21390
02110;Braine;19820
02111;Brancourt-en-Laonnois;22420
02112;Brancourt-le-Grand;21170
02114;Brasles;22200
02115;Braye-en-Laonnois;21690
02116;Braye-en-Thiérache;19010
02117;Bray-Saint-Christophe;N/A
02118;Braye;22210
02119;Brécy;23140
02120;Brenelle;21120
02121;Breny;20230
02122;Brie;N/A
02123;Brissay-Choigny;22060
02124;Brissy-Hamégicourt;20860
02125;Brumetz;22480
02126;Brunehamel;16650
02127;Bruyères-sur-Fère;20220
02128;Bruyères-et-Montbérault;23550
02129;Bruys;N/A
02130;Bucilly;19720
02131;Bucy-le-Long;22870
02132;Bucy-lès-Cerny;21930
02133;Bucy-lès-Pierrepont;19700
02134;Buire;19780
02135;Buironfosse;18500
02136;Burelles;20840
02137;Bussiares;23310
02138;Buzancy;25790
02139;Caillouël-Crépigny;22860
02140;Camelin;20120
02141;La Capelle;18260
02142;Castres;25250
02143;Le Catelet;19540
02144;Caulaincourt;23770
02145;Caumont;23820
02146;Celles-lès-Condé;N/A
02148;Celles-sur-Aisne;22140
02149;Cerizy;N/A
02150;Cerny-en-Laonnois;N/A
02151;Cerny-lès-Bucy;26700
02152;Cerseuil;N/A
02153;Cessières-Suzy;23230
02154;Chacrise;22370
02155;Chaillevois;24570
02156;Chalandry;20970
02157;Chambry;22270
02158;Chamouille;20500
02159;Champs;20010
02160;Chaourse;19220
02162;La Chapelle-sur-Chézy;21880
02163;Charly-sur-Marne;20430
02164;Le Charmel;21420
02165;Charmes;20240
02166;Chartèves;23210
02167;Chassemy;22100
02168;Château-Thierry;18830
02169;Châtillon-lès-Sons;N/A
02170;Châtillon-sur-Oise;23950
02171;Chaudardes;N/A
02172;Chaudun;21850
02173;Chauny;18210
02174;Chavignon;21560
02175;Chavigny;20860
02176;Chavonne;20160
02177;Chérêt;24000
02178;Chermizy-Ailles;22540
02179;Chéry-Chartreuve;22150
02180;Chéry-lès-Pouilly;21760
02181;Chéry-lès-Rozoy;N/A
02182;Chevennes;18780
02183;Chevregny;25090
02184;Chevresis-Monceau;20800
02185;Chézy-en-Orxois;22810
02186;Chézy-sur-Marne;23620
02187;Chierry;24250
02188;Chigny;19920
02189;Chivres-en-Laonnois;19570
02190;Chivres-Val;21820
02191;Chivy-lès-Étouvelles;22410
02192;Chouy;22250
02193;Cierges;N/A
02194;Cilly;19670
02195;Ciry-Salsogne;23340
02196;Clacy-et-Thierret;23840
02197;Clairfontaine;22520
02198;Clamecy;22810
02199;Clastres;21370
02200;Clermont-les-Fermes;18030
02201;Cœuvres-et-Valsery;23310
02203;Coincy;19320
02204;Coingt;N/A
02205;Colligis-Crandelain;21320
02206;Colonfay;N/A
02207;Commenchon;22970
02208;Concevreux;23740
02209;Condé-en-Brie;19980
02210;Condé-sur-Aisne;22690
02211;Condé-sur-Suippe;21490
02212;Condren;21480
02213;Connigis;22330
02214;Contescourt;N/A
