Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Densité de population 2019
01432;Verjon;63.21
01433;Vernoux;30.69
01434;Versailleux;25.15
01435;Versonnex;366.21
01436;Vesancy;44.95
01437;Vescours;17.87
01439;Vésines;25.52
01441;Vieu-d'Izenave;30.93
01443;Villars-les-Dombes;201.95
01444;Villebois;82.71
01445;Villemotier;44.37
01446;Villeneuve;57.78
01447;Villereversure;76.91
01448;Villes;42.24
01449;Villette-sur-Ain;39.16
01450;Villieu-Loyes-Mollon;233.63
01451;Viriat;146.46
01452;Virieu-le-Grand;90.2
01453;Arvière-en-Valromey;17.32
01454;Virignin;141.12
01456;Vongnes;34.63
01457;Vonnas;178.61
02001;Abbécourt;84.23
02002;Achery;88.41
02003;Acy;87.49
02004;Agnicourt-et-Séchelles;16.87
02005;Aguilcourt;35.95
02006;Aisonville-et-Bernoville;30.01
02007;Aizelles;25
02008;Aizy-Jouy;20.1
02009;Alaincourt;90.51
02010;Allemant;33.72
02011;Ambleny;65.7
02012;Ambrief;15.78
02013;Amifontaine;13.84
02014;Amigny-Rouy;55.73
02015;Ancienville;18.7
02016;Andelain;74.23
02017;Anguilcourt-le-Sart;35.34
02018;Anizy-le-Grand;125.13
02019;Annois;61.36
02020;Any-Martin-Rieux;25.66
02021;Archon;13.19
02022;Arcy-Sainte-Restitue;15.25
02023;Armentières-sur-Ourcq;14.98
02024;Arrancy;9.16
02025;Artemps;58.16
02027;Assis-sur-Serre;26.62
02028;Athies-sous-Laon;168.78
02029;Attilly;29.97
02030;Aubencheul-aux-Bois;121.8
02031;Aubenton;27.89
02032;Aubigny-aux-Kaisnes;68.01
02033;Aubigny-en-Laonnois;23.58
02034;Audignicourt;21.38
02035;Audigny;26.1
02036;Augy;27.69
02037;Aulnois-sous-Laon;138.46
02038;Les Autels;9.85
02039;Autremencourt;18.91
02040;Autreppes;26.55
02041;Autreville;227.32
02042;Azy-sur-Marne;138.13
02043;Bagneux;29.41
02044;Bancigny;7.53
02046;Barenton-Bugny;48.95
02047;Barenton-Cel;16.14
02048;Barenton-sur-Serre;16.52
02049;Barisis-aux-Bois;48.91
02050;Barzy-en-Thiérache;42.33
02051;Barzy-sur-Marne;51.79
02052;Bassoles-Aulers;19.2
02053;Vallées en Champagne;13.85
02054;Bazoches-et-Saint-Thibaut;39.79
02055;Beaumé;9.59
02056;Beaumont-en-Beine;33.09
02057;Beaurevoir;64.7
02058;Beaurieux;88.34
02059;Beautor;364.78
02060;Beauvois-en-Vermandois;34.22
